model,epoch,loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall,lr
deallocation_model,11,0.9655834436416626,0.6599372625350952,0.9336261749267578,0.17453505098819733,0.9891892075538635,0.6461129188537598,0.800000011920929,0.8537305593490601,0.22380952537059784,0.734375,0.0007999999797903001
deallocation_model,12,0.9909007549285889,0.6724813580513,0.9257976412773132,0.17908239364624023,0.9810810685157776,0.5948999524116516,0.8199999928474426,0.8629074692726135,0.23369565606117249,0.671875,0.0007999999797903001
deallocation_model,13,0.9163729548454285,0.6875734925270081,0.9422314763069153,0.18743616342544556,0.9918919205665588,0.5497724413871765,0.8377777934074402,0.8738225102424622,0.2405063360929489,0.59375,0.0007999999797903001
deallocation_model,14,0.9033704400062561,0.7009016275405884,0.9430758953094482,0.19320593774318695,0.9837837815284729,0.5191003680229187,0.8533333539962769,0.8855693340301514,0.24242424964904785,0.5,0.0007999999797903001
deallocation_model,15,0.8872171640396118,0.70462566614151,0.9471815824508667,0.19615179300308228,0.9918919205665588,0.4959419369697571,0.8711110949516296,0.893531322479248,0.2678571343421936,0.46875,0.0007999999797903001
deallocation_model,16,0.8711814880371094,0.7228537797927856,0.9486355185508728,0.2057497203350067,0.9864864945411682,0.4765670895576477,0.8766666650772095,0.9016709327697754,0.27184465527534485,0.4375,0.0007999999797903001
deallocation_model,17,0.8564063906669617,0.7291258573532104,0.9518850445747375,0.2098623812198639,0.9891892075538635,0.459688276052475,0.8777777552604675,0.9072125554084778,0.2604166567325592,0.390625,0.0007999999797903001
deallocation_model,18,0.8302655816078186,0.7420619130134583,0.9545875191688538,0.21845237910747528,0.9918919205665588,0.44546744227409363,0.8844444155693054,0.9114271998405457,0.261904776096344,0.34375,0.0007999999797903001
deallocation_model,19,0.8239266872406006,0.7453939914703369,0.9544064402580261,0.22068551182746887,0.9918919205665588,0.43719252943992615,0.8866666555404663,0.9115860462188721,0.26249998807907104,0.328125,0.0007999999797903001
deallocation_model,20,0.7931925058364868,0.7606821060180664,0.9592863917350769,0.23222152888774872,0.9972972869873047,0.42692887783050537,0.8866666555404663,0.9129410982131958,0.2432432472705841,0.28125,0.0007999999797903001
deallocation_model,21,0.7725558876991272,0.7622501254081726,0.9629675149917603,0.2337334156036377,1.0,0.4090368449687958,0.898888885974884,0.9194920063018799,0.2786885201931,0.265625,0.0007999999797903001
deallocation_model,22,0.740691065788269,0.7708741426467896,0.9674355983734131,0.24007807672023773,0.9972972869873047,0.389865905046463,0.9100000262260437,0.9311920404434204,0.3333333432674408,0.265625,0.0007999999797903001
deallocation_model,23,0.7484145760536194,0.7787142395973206,0.9651418924331665,0.24581380188465118,0.9918919205665588,0.37482577562332153,0.9222221970558167,0.9401260614395142,0.42500001192092896,0.265625,0.0007999999797903001
deallocation_model,24,0.7124655246734619,0.7902783155441284,0.9699212908744812,0.2559274733066559,0.9918919205665588,0.36373090744018555,0.9211111068725586,0.9431444406509399,0.41025641560554504,0.25,0.0007999999797903001
deallocation_model,25,0.6877586841583252,0.79537433385849,0.9729752540588379,0.2613314390182495,0.9972972869873047,0.35256227850914,0.9244444370269775,0.9460227489471436,0.44117647409439087,0.234375,0.0007999999797903001
deallocation_model,26,0.6934378743171692,0.8004704117774963,0.9730783104896545,0.2658959627151489,0.9945945739746094,0.33936837315559387,0.9322222471237183,0.956517219543457,0.5600000023841858,0.21875,0.0007999999797903001
deallocation_model,27,0.6737515330314636,0.8132104873657227,0.9733896851539612,0.2796674370765686,1.0,0.33031341433525085,0.9300000071525574,0.9626009464263916,0.5333333611488342,0.125,0.0007999999797903001
deallocation_model,28,0.6437780857086182,0.8235985636711121,0.977531909942627,0.2903481125831604,0.9918919205665588,0.3231295347213745,0.9277777671813965,0.9651147127151489,0.4615384638309479,0.09375,0.0007999999797903001
deallocation_model,29,0.630622386932373,0.8273226022720337,0.9792225360870361,0.2954363524913788,0.9972972869873047,0.31719255447387695,0.9322222471237183,0.9663296341896057,0.5882353186607361,0.15625,0.0007999999797903001
deallocation_model,30,0.6310264468193054,0.83379065990448,0.9791303277015686,0.3034539520740509,0.9972972869873047,0.31150022149086,0.9322222471237183,0.9667407870292664,0.5882353186607361,0.15625,0.0007999999797903001
deallocation_model,31,0.629967451095581,0.8318306803703308,0.9774356484413147,0.3006536066532135,0.9945945739746094,0.3056149184703827,0.9333333373069763,0.970441460609436,0.6428571343421936,0.140625,0.0007999999797903001
deallocation_model,32,0.6107373237609863,0.842022716999054,0.9797497987747192,0.3143100440502167,0.9972972869873047,0.300611287355423,0.9277777671813965,0.971955418586731,0.4444444477558136,0.0625,0.0007999999797903001
deallocation_model,33,0.5937193632125854,0.8465307950973511,0.9805850386619568,0.3205907940864563,0.9972972869873047,0.2956584095954895,0.9288889169692993,0.9731515645980835,0.5,0.078125,0.0007999999797903001
deallocation_model,34,0.5803136825561523,0.8586828708648682,0.9807735085487366,0.3388429880142212,0.9972972869873047,0.29058435559272766,0.9288889169692993,0.9748896956443787,0.5,0.078125,0.0007999999797903001
deallocation_model,35,0.5621442794799805,0.8637788891792297,0.9834399819374084,0.34713077545166016,0.9972972869873047,0.2856730818748474,0.9300000071525574,0.9765158295631409,0.5555555820465088,0.078125,0.0007999999797903001
