model,epoch,loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall,lr
deallocation_model,1,2.256488084793091,0.5427283644676208,0.5831566452980042,0.09189189225435257,0.5972973108291626,0.6976654529571533,0.6766666769981384,0.730814516544342,0.1373801976442337,0.671875,0.0007999999797903001
deallocation_model,2,1.617157220840454,0.5927087664604187,0.7569580674171448,0.12901824712753296,0.8027027249336243,0.814301073551178,0.6499999761581421,0.7764652967453003,0.14647887647151947,0.8125,0.0007999999797903001
deallocation_model,3,1.394369125366211,0.5942767262458801,0.8085281848907471,0.14074386656284332,0.8999999761581421,0.9214589595794678,0.6244444251060486,0.767101526260376,0.15228426456451416,0.9375,0.0007999999797903001
deallocation_model,4,1.351859450340271,0.6115248799324036,0.8360721468925476,0.14649122953414917,0.9027026891708374,0.968214750289917,0.6344444155693054,0.7703443169593811,0.15404699742794037,0.921875,0.0007999999797903001
deallocation_model,5,1.1734451055526733,0.6217169761657715,0.8752419352531433,0.15669013559818268,0.9621621370315552,0.9707047939300537,0.6466666460037231,0.7782502174377441,0.15860214829444885,0.921875,0.0007999999797903001
deallocation_model,6,1.1461504697799683,0.6174049377441406,0.8839791417121887,0.15608695149421692,0.9702702760696411,0.9469597935676575,0.6766666769981384,0.7871467471122742,0.1690962165594101,0.90625,0.0007999999797903001
deallocation_model,7,1.0889519453048706,0.6268129944801331,0.9010366797447205,0.16121907532215118,0.9864864945411682,0.8807215094566345,0.6966666579246521,0.8004915714263916,0.17241379618644714,0.859375,0.0007999999797903001
deallocation_model,8,1.059874415397644,0.6334770917892456,0.9082671403884888,0.16307277977466583,0.9810810685157776,0.8015715479850769,0.7177777886390686,0.816920280456543,0.18333333730697632,0.859375,0.0007999999797903001
deallocation_model,9,1.0621107816696167,0.6458251476287842,0.9090807437896729,0.16751503944396973,0.9783783555030823,0.7439364194869995,0.7444444298744202,0.8305079936981201,0.19029851257801056,0.796875,0.0007999999797903001
deallocation_model,10,1.0329070091247559,0.6552332639694214,0.9151087403297424,0.17225106060504913,0.9864864945411682,0.6986077427864075,0.7744444608688354,0.8426192402839661,0.2092050164937973,0.78125,0.0007999999797903001
