epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6186029314994812,0.9224658608436584,1.073403239250183,0.0008,0.20546825230121613,0.9430894255638123,0.9523114562034607,0.9967033267021179,0.5409557819366455,0.6886942386627197,0.9988452792167664
1,0.8134552836418152,0.9931979179382324,0.5253580808639526,0.0008,0.3553970754146576,0.9972899556159973,0.975304126739502,0.9961381554603577,0.40078479051589966,0.8178331851959229,0.9849884510040283
2,0.9109136462211609,0.9947834014892578,0.41148677468299866,0.0008,0.5363034605979919,0.9962476491928101,0.9816301465034485,0.9976881742477417,0.29416021704673767,0.8666666746139526,0.9757505655288696
3,0.9428774118423462,0.9965859055519104,0.33635053038597107,0.0008,0.6440129280090332,0.9956222772598267,0.9864963293075562,0.9985513687133789,0.21799331903457642,0.9180509448051453,0.957274854183197
4,0.9592993259429932,0.9965957403182983,0.2930034101009369,0.0008,0.7179564237594604,0.9960392117500305,0.9886861443519592,0.9987308979034424,0.1658845841884613,0.9407069683074951,0.9526559114456177
5,0.9669843912124634,0.996904194355011,0.2593023180961609,0.0008,0.7591031789779663,0.9952053427696228,0.9883211851119995,0.99880051612854,0.13327981531620026,0.9296875,0.9618937373161316
6,0.9717070460319519,0.9975605607032776,0.2267591655254364,0.0008,0.7864317297935486,0.9956222772598267,0.9875912666320801,0.9987480044364929,0.11314903944730759,0.9282511472702026,0.9561200737953186
7,0.9741756916046143,0.997982919216156,0.20331045985221863,0.0008,0.8018139004707336,0.9952053427696228,0.9885644912719727,0.9989624619483948,0.0963657945394516,0.9223194718360901,0.9734411239624023
8,0.9774600863456726,0.9975869655609131,0.18488216400146484,0.0008,0.8221840262413025,0.9966645836830139,0.9894160628318787,0.9990003705024719,0.08419017493724823,0.9294376969337463,0.9734411239624023
9,0.9780611395835876,0.9979196786880493,0.1724356710910797,0.0008,0.8266136050224304,0.9958307147026062,0.987104594707489,0.9987353086471558,0.08224789053201675,0.9068522453308105,0.9780600666999817
10,0.9784690141677856,0.9977086186408997,0.16355042159557343,0.0008,0.8293402791023254,0.9958307147026062,0.9868612885475159,0.9988840222358704,0.07583316415548325,0.9014830589294434,0.982679009437561
11,0.9790056943893433,0.9982887506484985,0.14802148938179016,0.0004,0.8322603106498718,0.9970815181732178,0.9885644912719727,0.9991334676742554,0.06818683445453644,0.9195652008056641,0.9769052863121033
12,0.9797355532646179,0.9982330799102783,0.1438387781381607,0.0004,0.837567925453186,0.9964561462402344,0.9877129197120667,0.9990102648735046,0.0686384066939354,0.90821772813797,0.982679009437561
13,0.9817319512367249,0.998580813407898,0.1355644315481186,0.0004,0.851442813873291,0.9964561462402344,0.9866179823875427,0.9988713264465332,0.07031524181365967,0.8978947401046753,0.9849884510040283
14,0.9813884496688843,0.9986515045166016,0.12756766378879547,0.0004,0.8482807278633118,0.9977068901062012,0.9875912666320801,0.9991401433944702,0.06496140360832214,0.9089936017990112,0.980369508266449
15,0.9826764464378357,0.9987444877624512,0.12519991397857666,0.0002,0.8581687808036804,0.9964561462402344,0.9863746762275696,0.9990320205688477,0.06875734031200409,0.8960084319114685,0.9849884510040283
16,0.9823330044746399,0.9986302852630615,0.1230527013540268,0.0002,0.8553290367126465,0.9970815181732178,0.986253023147583,0.998910665512085,0.06841059774160385,0.8950682282447815,0.9849884510040283
17,0.9821183085441589,0.9986147880554199,0.12087775021791458,0.0002,0.8538022041320801,0.9970815181732178,0.9864963293075562,0.998849093914032,0.06884855031967163,0.8952879309654236,0.9872978925704956
18,0.9834063053131104,0.9988017082214355,0.11565646529197693,1e-04,0.8627839684486389,0.9974984526634216,0.9860097169876099,0.9988532662391663,0.07031413167715073,0.8915536999702454,0.9872978925704956
19,0.9829126000404358,0.9987193942070007,0.11819613724946976,1e-04,0.8589628338813782,0.9979153871536255,0.9851581454277039,0.998740017414093,0.07379377633333206,0.8827160596847534,0.9907621145248413
20,0.982719361782074,0.9987523555755615,0.11673270910978317,1e-04,0.8579626679420471,0.9972899556159973,0.9852797985076904,0.9987619519233704,0.07441408187150955,0.8828365802764893,0.991916835308075
