head,epoch,loss,elapsed_sec,train_mae,val_mae,val_rmse
deallocation_over_log,1,0.043792117176567454,0.14,0.15688778297194028,0.15925149139234607,0.21740715273845698
deallocation_over_log,2,0.02092937634180895,0.32,0.11971370430690928,0.13054117187519068,0.19296692994650835
deallocation_over_log,3,0.014981550473582708,0.47,0.09741287966255761,0.1133147012860952,0.17659620966887313
deallocation_over_log,4,0.012647202870607888,0.6,0.08866592150177949,0.10806782045724195,0.17370827146151976
deallocation_over_log,5,0.010185091067559764,0.75,0.08262153157536294,0.10691557906804547,0.1712914157723344
deallocation_over_log,6,0.009955222814303676,0.87,0.07896107500382255,0.1055257362306277,0.1741414999221444
deallocation_over_log,7,0.008983062487339126,1.01,0.07338660013339705,0.100290857475922,0.16668532527171337
deallocation_over_log,8,0.007414470424921456,1.11,0.06380516466472974,0.09550855189388432,0.16585574333072767
deallocation_over_log,9,0.007123601179083601,1.25,0.06552552246319794,0.09660514648487517,0.1678572785312189
deallocation_over_log,10,0.007317618291977336,1.37,0.06372143456364092,0.0979598588458882,0.1693644944411816
deallocation_over_log,11,0.005903682947573553,1.5,0.058464609199568446,0.09653353251226676,0.1679883325266706
deallocation_over_log,12,0.005351877377500419,1.62,0.057540872050712275,0.09384985663876083,0.1672277718068519
deallocation_over_log,13,0.0053885805331506265,1.77,0.05522194162716027,0.09394511500373807,0.164494128344067
deallocation_over_log,14,0.004749176283144343,1.92,0.05451688069374829,0.09678034133008792,0.16878727171276123
deallocation_over_log,15,0.004538391542984319,2.1,0.049543903942569974,0.09191720275591751,0.1654980795718272
deallocation_over_log,16,0.0044408230515234695,2.24,0.04689180301739044,0.08939004510245849,0.1634808838914613
deallocation_over_log,17,0.003725163036518979,2.43,0.045344283535843535,0.08995199213285283,0.16515963198930173
deallocation_over_log,18,0.0036836623010578482,2.55,0.043407344335275086,0.09065813132725395,0.1670704277514557
deallocation_over_log,19,0.004306207738175876,2.67,0.04666998368742131,0.090321162477651,0.1660930354275348
deallocation_over_log,20,0.003944158012987286,2.8,0.040886939181052906,0.08646663316538132,0.1622464253587711
deallocation_over_log,21,0.0035197359213792008,2.96,0.039182196055180495,0.08650078672096942,0.16421868165476197
deallocation_over_log,22,0.003283718050933663,3.09,0.04300825975608279,0.08835133083403396,0.16567585992659634
deallocation_over_log,23,0.003240532181958364,3.23,0.04409308726878842,0.08883432442150521,0.16428274299710788
deallocation_over_log,24,0.00338759215572323,3.36,0.0386642284167288,0.0872668163069106,0.16368236518747242
deallocation_over_log,25,0.003236879228174316,3.54,0.038754121861561415,0.08675301336038688,0.16357788857828306
deallocation_over_log,26,0.0028187006327122428,3.68,0.04099682715285599,0.08723379386481392,0.16422632317627522
deallocation_over_log,27,0.0029870260036895828,3.82,0.034513065132665166,0.08425300552031129,0.1630042814267663
deallocation_over_log,28,0.0026566217191426674,3.95,0.03221070178955601,0.08426152810793418,0.16517254764680078
deallocation_over_log,29,0.00231623439660014,4.09,0.03480705787144062,0.08539636407314312,0.1661095034035544
deallocation_over_log,30,0.0026222299052658703,4.23,0.03455096354068629,0.08622622119122673,0.16599346805087406
deallocation_over_log,31,0.002276204468018731,4.36,0.03291161231622716,0.08595258551813774,0.16740617785780146
deallocation_over_log,32,0.0020192480129675315,4.52,0.033213327746180445,0.08655152142256475,0.16841222884345536
deallocation_over_log,33,0.0021187871741387802,4.66,0.032036026960206195,0.08289575134973765,0.16288308750431232
deallocation_over_log,34,0.002183939143862527,4.8,0.03468828294236158,0.08622622341701788,0.1658571101331457
deallocation_over_log,35,0.0028030156797894785,4.93,0.029800416423109787,0.08261845500343136,0.16422054315498566
