cutoff,mae_before_deallocation,exact_before_deallocation,pred_alloc_sum
0.1,1.5431145431145432,0.6788931788931789,10511.0
0.13333333333333333,0.8558558558558559,0.7702702702702703,9435.0
0.16666666666666669,0.6132561132561133,0.8114543114543115,9052.0
0.2,0.47297297297297297,0.8391248391248392,8828.0
0.23333333333333334,0.38996138996138996,0.8558558558558559,8687.0
0.26666666666666666,0.3539253539253539,0.8667953667953668,8625.0
0.30000000000000004,0.33204633204633205,0.8732303732303732,8589.0
0.33333333333333337,0.2985842985842986,0.8822393822393823,8523.0
0.3666666666666667,0.28957528957528955,0.8848133848133848,8507.0
0.4,0.2734877734877735,0.8886743886743886,8482.0
0.43333333333333335,0.2676962676962677,0.8906048906048906,8471.0
0.4666666666666667,0.2619047619047619,0.8918918918918919,8458.0
0.5,0.25804375804375806,0.8938223938223938,8444.0
0.5333333333333333,0.2554697554697555,0.8957528957528957,8436.0
0.5666666666666667,0.25353925353925355,0.8976833976833977,8429.0
0.6,0.24774774774774774,0.9009009009009009,8414.0
0.6333333333333333,0.26640926640926643,0.8996138996138996,8327.0
0.6666666666666666,0.2619047619047619,0.9009009009009009,8316.0
0.7,0.26126126126126126,0.9015444015444015,8301.0
0.7333333333333333,0.30115830115830117,0.898970398970399,8229.0
0.7666666666666666,0.305019305019305,0.9009009009009009,8213.0
0.7999999999999999,0.305019305019305,0.9015444015444015,8201.0
0.8333333333333333,0.33462033462033464,0.8996138996138996,8123.0
0.8666666666666666,0.3436293436293436,0.898970398970399,8093.0
0.9,0.34942084942084944,0.8976833976833977,8034.0
